api_id,plan,basis,source_refs,business_rules,tables,status,review_flag
136,PLAN_18_Admin_Learner_Exceptional_Actions.md,SUY DẪN,BD-11|CLASS-01|UC-01,ADM-LRN-04,users|user_profiles|learning_path_enrollments|audit_logs|course_enrollments|lesson_progress|outbox_events,Draft — Needs Confirmation,Confirm endpoint/contract
137,PLAN_18_Admin_Learner_Exceptional_Actions.md,SUY DẪN,BD-11|CLASS-01|UC-01,"ACC-06, ADM-LRN-05",users|user_profiles|audit_logs|outbox_events,Draft — Needs Confirmation,Confirm endpoint/contract
138,PLAN_18_Admin_Learner_Exceptional_Actions.md,SUY DẪN,BD-11|CLASS-01|UC-01,ADM-LRN-05,users|user_profiles|audit_logs|outbox_events,Draft — Needs Confirmation,Confirm endpoint/contract
139,PLAN_18_Admin_Learner_Exceptional_Actions.md,SUY DẪN,BD-11|CLASS-01|UC-01,ADM-LRN-08,users|user_profiles|support_notes,Draft — Needs Confirmation,Confirm endpoint/contract
140,PLAN_18_Admin_Learner_Exceptional_Actions.md,SUY DẪN,BD-11|CLASS-01|UC-01,ADM-LRN-08,users|user_profiles|support_notes|audit_logs|outbox_events,Draft — Needs Confirmation,Confirm endpoint/contract
141,PLAN_18_Admin_Learner_Exceptional_Actions.md,SUY DẪN,BD-11|CLASS-01|UC-01,RBAC audit,users|user_profiles|audit_logs,Draft — Needs Confirmation,Confirm endpoint/contract
142,PLAN_19_Operational_Reports.md,TRỰC TIẾP,SEQ-13|BD-12|AC-13|CLASS-01|UC-01,"RPT-01, RPT-02",users|onboarding_records|learning_path_enrollments|course_enrollments|exercise_submissions,Draft,Reconcile missing architecture/schema
143,PLAN_19_Operational_Reports.md,SUY DẪN,BD-12|CLASS-01|UC-01,RPT-01,users|verification_requests,Draft — Needs Confirmation,Confirm endpoint/contract
144,PLAN_19_Operational_Reports.md,SUY DẪN,BD-12|CLASS-01|UC-01,RPT-01,onboarding_records|users|user_profiles,Draft — Needs Confirmation,Confirm endpoint/contract
145,PLAN_19_Operational_Reports.md,SUY DẪN,BD-12|CLASS-01|UC-01,"RPT-01, RPT-06",learning_path_enrollments|learning_paths|learning_path_courses,Draft — Needs Confirmation,Confirm endpoint/contract
146,PLAN_19_Operational_Reports.md,SUY DẪN,BD-12|CLASS-01|UC-01,"RPT-04, RPT-06",course_enrollments|courses|lesson_progress,Draft — Needs Confirmation,Confirm endpoint/contract
147,PLAN_19_Operational_Reports.md,SUY DẪN,BD-12|CLASS-01|UC-01,RPT-04,exercise_submissions|exercises,Draft — Needs Confirmation,Confirm endpoint/contract
148,PLAN_19_Operational_Reports.md,SUY DẪN,BD-12|CLASS-01|UC-01,RPT-03,community_join_events|community_reports|community_groups,Draft — Needs Confirmation,Confirm endpoint/contract
149,PLAN_19_Operational_Reports.md,TRỰC TIẾP,SEQ-13|BD-12|AC-13|CLASS-01|UC-01,RPT mục 5.7,operational_alerts|metric_snapshots,Draft,Reconcile missing architecture/schema
150,PLAN_20_RBAC_Audit.md,SUY DẪN,BD-13|CLASS-01|UC-01,RBAC-01,roles|role_permissions|user_roles,Draft — Needs Confirmation,Confirm endpoint/contract
151,PLAN_20_RBAC_Audit.md,SUY DẪN,BD-13|CLASS-01|UC-01,RBAC-01,permissions,Draft — Needs Confirmation,Confirm endpoint/contract
152,PLAN_20_RBAC_Audit.md,SUY DẪN,BD-13|CLASS-01|UC-01,RBAC-01,roles|permissions|role_permissions,Draft — Needs Confirmation,Confirm endpoint/contract
153,PLAN_20_RBAC_Audit.md,SUY DẪN,BD-13|CLASS-01|UC-01,RBAC-01,user_roles|roles,Draft — Needs Confirmation,Confirm endpoint/contract
154,PLAN_20_RBAC_Audit.md,SUY DẪN,BD-13|CLASS-01|UC-01,RBAC-06,user_roles|roles|audit_logs,Draft — Needs Confirmation,Confirm endpoint/contract
155,PLAN_20_RBAC_Audit.md,SUY DẪN,BD-13|CLASS-01|UC-01,RBAC-06,user_roles|roles|audit_logs,Draft — Needs Confirmation,Confirm endpoint/contract
156,PLAN_20_RBAC_Audit.md,TRỰC TIẾP,SEQ-14|BD-13|AC-14|CLASS-01|UC-01,"RBAC-05, RBAC-07",audit_logs,Draft,Reconcile missing architecture/schema
157,PLAN_20_RBAC_Audit.md,SUY DẪN,BD-13|CLASS-01|UC-01,"RBAC-05, RBAC-07",audit_logs,Draft — Needs Confirmation,Confirm endpoint/contract
